pattern	tinyIds
NIH Toolbox -	713jVsapL 71Gkc4jTaI 71MuOEsT6I 71TcEiaaL 71ZVxHi6TL 71b2cVj6pL 71fQp4sT68 71oOVjaTL 71xehNoapU 7J2OEja6I 7JGNFVja68 7JHlria6U 7JPu4jaaI 7JS9EiaaU 7JWLYNjTT8 7JZW64sTTI 7JeR5NiaaI 7Jek9EsTTL 7Jf9F4oaaU 7JgZi4sTaL 7JgcO4oTTL 7Jl2qNjap8 7kMC34jaaI 7kMDtVjpp8 7kMhs4sTaI 7kMjViap8 7k_5FEoTaL 7kbTNsaTI 7kee9EipTL 7keu3ViT6I 7kiKEi6p8 7klcqVj6aU 7kmYVsppL 7kpi4j6TI 7kzMiEoTT8 7yEpNsaTI 7yGh5EoaT8 7yMJYNi668 7yMz6VoTaU 7yZQ24jpTU 7ylLj4iT6U 7ylv34oap8 7yx0nEjaTU 7yxNerop6I 7yz0_4oapL Q14nVjaaL Q1PFEiaT8 Q1WV54ip6L Q1bLiViTTL Q1ezKNi6pI Q1fp3No6pI Q1gyYVjTaL Q1lLu4sTpL Q1lnVop6L Q1xPF4j6pU Q1xduNspaU Q1z6NiapU QJ59EsTaI QJG4cNoTaI QJK5Vi6TI QJeBgHoTa8 QJe_T4jaT8 QJgF5VoT6I QJgaNo6TI QJli_4jap8 QJxGiVoTpI QJxf64jTT8 QJzfh4op6I QkWAhVjT6I QkWQd4iT6U QkZSxHs6pI QkZkc4sppL Qk_3dNip6U Qkb9_EsTaI Qkbka4iapU Qkbxu4o66L QkeJs4ipTL Qkg2sNoaTU Qkx8FVja6U Qkz8oEiTp8 QyUdNop6I QyWT3EsTaI Qy_3sEiaaI Qy_Xp4sp68 Qy_fi4j6pU Qy_vnNiTa8 Qyg45Vspp8 QygE_EoaaU QygYuNs66I QyluqNoTpU QyxSiVoaT8 QyxlTNipaL QyxraVoTTL X149No6TI X1DnNo6pI X1WQlro6TL X1_vtVi6TL X1bVaVsTp8 X1xXpEjTT8 X1z3EiT6L XJ4xHia6I XJGF54s6TU XJGUn4ia6U XJZXFEja6U XJ_N_Nop6L XJbYKEoTT8 XJbZOVj6pI XJeXeSopaI XJey6ViaaL XJfSs4jap8 XJllOEop6U XJxc4opT8 Xk2qNj6pI XkGId4iTpU XkX64i6T8 XkZea4o6TL Xkb1FNiTa8 XkbooNi6TL Xkf4gSiaa8 XkfeTVop6I XkgY4spTI Xkgbu4sapU Xkgk_EjaT8 XkkFVip6U XkxgFNsTT8 Xkxm34s6pU XkzHlrjp6I XyBaVoaaI XyBjEsa68 XyK_4iapL XyVFVopaU XyWOnEopTI XyZ4FEiaa8 XyZGaEsp68 XybG2EoTTU XyeRONsp68 Xye_VsaaL XylKKNjT6U XyuhNipT8 Xyz6aNjppU m14O4jTaI m1Qi4spT8 m1b0_EiTTI m1eL24o6p8 m1gmONo66L m1xb3Vj6T8 mJ8oVsp6U mJA2EspTL mJXnVoapU mJb_NsaTU mJcKEiapI mJe5YViaaL mJez34iTTI mJf_3Ej6TU mJlmFNoT6I mJxQjVoTaU mJy64ipa8 mkGWOEoTTI mkZddEi6T8 mkZlFEiap8 mk_Si4s668 mkb8nVjT6U mkbyuEi6aU mkeao4ippU mkgEnEoT6U mkgsiNsapI mkl2uVoaTL myG464jpaI myWKqVjppU myZOq4opaL my_Lu4jpTL myb1oVi6p8 mybiu4ipp8 myeVaEoT6I myx4YVo6p8 myzttVop6L
NIH Toolbox - Anger	71MuOEsT6I 7JPu4jaaI Q1lLu4sTpL Q1xduNspaU QkWQd4iT6U Qkbxu4o66L QyUdNop6I QygE_EoaaU QygYuNs66I XJ_N_Nop6L XJbZOVj6pI XJllOEop6U XkGId4iTpU Xkgbu4sapU Xkgk_EjaT8 XyK_4iapL Xye_VsaaL m14O4jTaI m1gmONo66L mJb_NsaTU mkGWOEoTTI mkZddEi6T8 mkbyuEi6aU my_Lu4jpTL
NIH Toolbox - Emotional support	71oOVjaTL 7J2OEja6I 7JgcO4oTTL QJli_4jap8 Qk_3dNip6U Qkb9_EsTaI mkl2uVoaTL mybiu4ipp8
NIH Toolbox - Empathic Behavior child	7yMJYNi668 Q1gyYVjTaL Xkb1FNiTa8 XkgY4spTI XkxgFNsTT8 mkZlFEiap8
NIH Toolbox - Fear	7JGNFVja68 7JWLYNjTT8 7kMDtVjpp8 7kmYVsppL Q1PFEiaT8 Q1ezKNi6pI Q1xPF4j6pU Qkx8FVja6U X1_vtVi6TL XJZXFEja6U XyVFVopaU XyZ4FEiaa8 mJlmFNoT6I myx4YVo6p8
NIH Toolbox - Fear somatic arousal	7JWLYNjTT8 7kMDtVjpp8 Q1PFEiaT8 Q1xPF4j6pU Qkx8FVja6U X1_vtVi6TL
NIH Toolbox - Fear worry	7kmYVsppL XyVFVopaU XyZ4FEiaa8 mJlmFNoT6I
NIH Toolbox - General	71Gkc4jTaI 7JS9EiaaU 7Jek9EsTTL 7kee9EipTL Q1WV54ip6L QJG4cNoTaI QkZkc4sppL Qyg45Vspp8 X149No6TI XJxc4opT8
NIH Toolbox - General life satisfaction	71Gkc4jTaI 7JS9EiaaU 7Jek9EsTTL 7kee9EipTL Q1WV54ip6L QJG4cNoTaI QkZkc4sppL Qyg45Vspp8 XJxc4opT8
NIH Toolbox - Loneliness	71TcEiaaL 7JeR5NiaaI 7Jl2qNjap8 7yGh5EoaT8 QkeJs4ipTL Xk2qNj6pI myb1oVi6p8
NIH Toolbox - Perceived hostility	7ylLj4iT6U Q1bLiViTTL Qkz8oEiTp8 QyxSiVoaT8 XJfSs4jap8 XyBjEsa68 mJ8oVsp6U mk_Si4s668
NIH Toolbox - Perceived rejection	713jVsapL 71xehNoapU 7kMhs4sTaI 7kpi4j6TI Q1lnVop6L Qkg2sNoaTU Qy_3sEiaaI XkbooNi6TL mkeao4ippU mkgsiNsapI
NIH Toolbox - Perceived stress child	7yZQ24jpTU Q14nVjaaL QJzfh4op6I X1z3EiT6L Xkxm34s6pU XybG2EoTTU m1xb3Vj6T8 mJXnVoapU mJez34iTTI
NIH Toolbox - Positive affect	71fQp4sT68 7JZW64sTTI 7kMC34jaaI 7kbTNsaTI 7keu3ViT6I 7yEpNsaTI 7yMz6VoTaU 7ylv34oap8 7yx0nEjaTU Q1fp3No6pI Q1z6NiapU QJe_T4jaT8 QJgaNo6TI QJxf64jTT8 QkWAhVjT6I Qkbka4iapU QyWT3EsTaI Qy_Xp4sp68 Qy_vnNiTa8 QyxlTNipaL QyxraVoTTL X1DnNo6pI X1bVaVsTp8 X1xXpEjTT8 XJGUn4ia6U XJey6ViaaL XkX64i6T8 XkZea4o6TL XkfeTVop6I XyBaVoaaI XyWOnEopTI XyZGaEsp68 XyuhNipT8 Xyz6aNjppU m1eL24o6p8 mJA2EspTL mJf_3Ej6TU mJy64ipa8 mkb8nVjT6U myG464jpaI myeVaEoT6I
NIH Toolbox - Self-Efficacy	71ZVxHi6TL 7JHlria6U 7yxNerop6I QJeBgHoTa8 QkZSxHs6pI XJeXeSopaI Xkf4gSiaa8 XkzHlrjp6I
NIH Toolbox Anger	71MuOEsT6I 7JPu4jaaI Q1lLu4sTpL Q1xduNspaU QkWQd4iT6U Qkbxu4o66L QyUdNop6I QygE_EoaaU QygYuNs66I XJ_N_Nop6L XJbZOVj6pI XJllOEop6U XkGId4iTpU Xkgbu4sapU Xkgk_EjaT8 XyK_4iapL Xye_VsaaL m14O4jTaI m1gmONo66L mJb_NsaTU mkGWOEoTTI mkZddEi6T8 mkbyuEi6aU my_Lu4jpTL
NIH Toolbox Cognitive Battery	71gkk_dT68 71z_kuuppI 7JZmJ_ua6U 7JerCDOTpI 7JlzkuO6TL 7kzf1_uTTU 7yJJOO6p8 7yl_RPuppU Q1G7JuOapU Q1IJdda6L Q1MoRv_p6U Q1WJOuapL Q1lYCDdapI QJG80Pu6T8 QJeE1_u6TI QJlc0DdT68 QJoAvu66L QJwAw_pp8 QJzk_upaI QkGuCwupaU QkXJ_uaaL Qke7yu_Tp8 QkgpAP_6aL QklCAwO6pL Qy9AD_6p8 QyMSyu_a6I QyebJduppU QygrJ_da6I Qyr0v_6pI X1M3Av_T6L X1_jAwOTa8 X1bAAvOTTU XJMw0Pu66L XJWfJ_uT6I XJZ2RDd6aI XJ_rJ_dpaU XJbaCDd6aI XJd0DOapU XJn0wuapL XkaAPuTTU XkbICD_a6U XkeIyOdaTI Xkel1dd6pL XkeyO_pT8 XkxhCwuaT8 Xkze1ddapU Xy0RPdTTI XyBkdO6TI XyG0RD_ppL XyYRPdaTL XyfTRPuaTL XyxiAv_TpI XyzNyOOp6L m1LCPOa6L m1_HRPuapU m1b11_OTTI mJWYRwO6a8 mk4yuO668 mkbdRPdTpU mklwCP_pTL mkxI0Dup6U myWD0D_pTI myWVkOOpa8 myZcCvd6TI my_bkdOa6I mybx1uu6pI
NIH Toolbox Perceived	713jVsapL 71xehNoapU 7kMhs4sTaI 7kpi4j6TI 7yZQ24jpTU 7ylLj4iT6U Q14nVjaaL Q1bLiViTTL Q1lnVop6L QJzfh4op6I Qkg2sNoaTU Qkz8oEiTp8 Qy_3sEiaaI QyxSiVoaT8 X1z3EiT6L XJfSs4jap8 XkbooNi6TL Xkxm34s6pU XyBjEsa68 XybG2EoTTU m1xb3Vj6T8 mJ8oVsp6U mJXnVoapU mJez34iTTI mk_Si4s668 mkeao4ippU mkgEnEoT6U mkgsiNsapI
NIH Toolbox Regional Taste Intensity Test	7kGw725TpU 7kzFQh9a6I Q1xuQ3c6a8 QydXhc6aI XJFX25ppU XJWvQ396pL XJcQh9Ta8 XkgK7296aU Xy__7hc6TU Xybt7nqTa8 mkxPmhqap8 mywmhcppU
National Adult Rading Test (NART)	QJSe1_Uc09Q
National Adult Reading Test (NART)	71_lyZL5RqQ 7JDgkbIqR97 QJSe1_Uc09Q Xy8gJWLqAc7
National Health and Nutrition Examination Survey	7Je3xoKaaU 7kre2uqjhox 7yW2xoF66U X1zjljF668 m13lsKppU y06kkPwwy
National Health and Nutrition Examination Survey (NHANES)	7Je3xoKaaU 7kre2uqjhox 7yW2xoF66U X1zjljF668 m13lsKppU
National Health and Nutrition Examination Survey -	y06kkPwwy
National Health and Nutrition Examination Survey - Physical Activity and Physical Fitness Questionnaire	y06kkPwwy
National Health and Nutrition Examination Survey - Physical Activity and Physical Fitness Questionnaire (NHANES-PAQ)	y06kkPwwy
National Health and Nutrition Examination Survey - Physical Activity and Physical Fitness Questionnaire (NHANES-PAQ) -	y06kkPwwy
National Institutes of Health Stroke Scale	2MpS5ASNS24 2qzBXNFi8 3JuD8SsFXGM 56hqo_bCUp 5DnwKaJdbHb 6A6rhtQkYKu 6aHpVD9uJ 6xZJQvZY2h 71q_kubW2ug 9LctISJipt 9ccHSdARAQ6 AffsQhKESyV C4MJzbj8DW CX84Z8NC6E8 HM2WeSADWAn Mof52m4lOb PAM_XiMKyE Q1tW1_bbn_l Q3esffzXKSN Qkkbydb_2ue Qli_agDCJp TjqhIplqB7 Ucs8udKPeuS VJggJ_ypZD _i3innbHg_ ePygqCyrjV gXjXztpR1PM hTBW7kUQRwk hzhyyMqtqvw j4ivqvyXzY kDCYK2UQwhr myhe1__bn_l oaorJeD_vL p5NDhstd77v pX7ytZWUi tSRDFQP7BXh v1h9N85x9fe vn2nq_MuXy
National Institutes of Health Stroke Scale (NIHSS)	2MpS5ASNS24 3JuD8SsFXGM 5DnwKaJdbHb 6A6rhtQkYKu 71q_kubW2ug 9ccHSdARAQ6 AffsQhKESyV CX84Z8NC6E8 HM2WeSADWAn Q1tW1_bbn_l Q3esffzXKSN Qkkbydb_2ue Ucs8udKPeuS gXjXztpR1PM hTBW7kUQRwk hzhyyMqtqvw kDCYK2UQwhr myhe1__bn_l p5NDhstd77v tSRDFQP7BXh v1h9N85x9fe
Neuro-QOL Depression	7122bdW_3Og 71EBv_bh_l 7J_TbdWW3ul 7kGh_uWWhOg 7kyWeb_ZWhux 7y5sZdWWh_g 7yeG_ZZ3_x Q1pllWOWZ2_g QJ7NMv_Z3de X1EzOZWhOl X1KhZub_3dx X1rA___Z2_e XJetav_W2ux Xk05_dZb2ul XkuUxmwZbhdg XyI9g7wWb3ue m1LegZOWW3ug m1RInPbWhdg m1UTbObb3_g m1ui_dbbnOe m1ykebObW3_e mJ1AbOZb3Ol mJillbuWbhdl myEnW_bb2_l
Neuro-QOL Depression Adult Bank	QJ7NMv_Z3de XkuUxmwZbhdg
Neuro-QOL Lower Extremity Function	718eeAv_bnde 71aleCPWW3ux 7J3JxRDW_hdx 7yT1gAP_W3de QJ_el0v_b2dg QkH1lCPb_2de QycgeAPb_3_e QyqJx0DZ_3_x QywleRvZW2_g X1M1lAv_W3Ox X1dJeRDWWhux XyVeRvbWnul XyXxgRDbWndg XybylCwWW3de Xye1lRwbZn_e m19gAvbZhOg mJtlgCDZZ3Ol mkjegRv_bh_e mkuxeRw_Z2ug
Neuro-QOL Lower Extremity Function and Patient-Reported Outcome Measurement Information System (PROMIS)	mJtlgCDZZ3Ol mkuxeRw_Z2ug
Neuro-QOL Lower Extremity Function.	718eeAv_bnde 71aleCPWW3ux 7J3JxRDW_hdx 7yT1gAP_W3de QJ_el0v_b2dg QkH1lCPb_2de QycgeAPb_3_e QyqJx0DZ_3_x QywleRvZW2_g X1M1lAv_W3Ox X1dJeRDWWhux XyVeRvbWnul XyXxgRDbWndg XybylCwWW3de Xye1lRwbZn_e m19gAvbZhOg mkjegRv_bh_e
Neuro-QOL Upper Extremity	71MleCPbWndx 7kCkgCDbb2dx 7yhgeRvbZ2_e 7yiyeRDWWhul Qkde0w__hdg QyVeeCvZbh_x X1KeAvZb2dl XJGxAPZZn_e XJV1gAwWbh_x XkHggCD_Zh_l XkrxAPW_2_g m1Xkg0wWZ3ul mJIgCP_Wnux mJUyg0w_W2_l mJylgRvZ_hug mkQl0wZbhug mkt1eRPWZnOl mkvkeRPWbnOg mkweCwbW3Og mygleAvb_3ux
Neuro-QOL Upper Extremity and Patient Repoted Outcome Measurement Information System (PROMIS)	XJV1gAwWbh_x
Neuro-QOL Upper Extremity and Patient-Reported Outcome Measurement Information System (PROMIS)	7yiyeRDWWhul XJGxAPZZn_e mJIgCP_Wnux mkt1eRPWZnOl
Neuro-QOL Upper Extremity and Patient-Reported Outcomes Information Measurement System (PROMIS)	X1KeAvZb2dl
Neuro-QOL Upper Extremity and Patient-Reported Outcomes Measurement Information System (PROMIS)	mkQl0wZbhug mkweCwbW3Og mygleAvb_3ux
Neuro-QOL Upper Extremity.	71MleCPbWndx 7kCkgCDbb2dx 7yhgeRvbZ2_e Qkde0w__hdg QyVeeCvZbh_x XkHggCD_Zh_l XkrxAPW_2_g m1Xkg0wWZ3ul mJUyg0w_W2_l mJylgRvZ_hug mkvkeRPWbnOg
Neurocognitive test	BsDxKHxJ WNMWMaTye
Neurocognitive test (NC)	BsDxKHxJ WNMWMaTye
Neurological Outcome Scale for Traumatic Brain Injury	718cyuZZ2Ol 71HtyObb3ug 71Tdku__2dl 71_tku_Z2_g 7JPFJubWn_x 7JS9JdZ_2de 7knYyO__ndl 7yaYyu_b2de 7ywqkuZb3Og Q1A_J_Wb2ug Q1F5JOWW3Ol QJCFJubWn_x QkYYJdWWhdg X13qyuZ_hde X199y_b_2dl XJ75JOb_2Oe XJZ5kdW_3_g XJxtJOWb2Ol XyE5ydbW3ul m1dc1u_W2de m1qYJObbnOe mJ6q1uZ_h_e mJNFkdZZhux mJPxmceolcZ mJ_tkdWZ3dx mkLtJO_Z3_l mkM9Jd_bn_l mkfYydb_ndx mkkY1uWWnOg mkmt1uWZhdl mksFJOZW2_x mky91u_b3Ol mygqkuZZnug myscJ_ZW3ul
Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	718cyuZZ2Ol 71HtyObb3ug 71Tdku__2dl 71_tku_Z2_g 7JPFJubWn_x 7JS9JdZ_2de 7knYyO__ndl 7yaYyu_b2de 7ywqkuZb3Og Q1A_J_Wb2ug Q1F5JOWW3Ol QJCFJubWn_x QkYYJdWWhdg X13qyuZ_hde X199y_b_2dl XJ75JOb_2Oe XJZ5kdW_3_g XJxtJOWb2Ol XyE5ydbW3ul m1dc1u_W2de m1qYJObbnOe mJ6q1uZ_h_e mJNFkdZZhux mJPxmceolcZ mJ_tkdWZ3dx mkLtJO_Z3_l mkM9Jd_bn_l mkfYydb_ndx mkkY1uWWnOg mkmt1uWZhdl mksFJOZW2_x mky91u_b3Ol mygqkuZZnug myscJ_ZW3ul
Non-Motor Symptom assessment scale for Parkinson's Disease	AKPyxebAH0H B5abzdhz561 Gr86NxYsWQq PrfCYR_Pbz4 QnK4_3E7EN3 VNoSMDHGJUg aAFkmEGaHhb axAmHcxR1j1 qEfqne4Zu7W rXWVvwmcS8Z
Non-Motor Symptom assessment scale for Parkinson's Disease (NMSS)	AKPyxebAH0H B5abzdhz561 Gr86NxYsWQq PrfCYR_Pbz4 QnK4_3E7EN3 VNoSMDHGJUg aAFkmEGaHhb axAmHcxR1j1 qEfqne4Zu7W rXWVvwmcS8Z
Office of Management and Budget	TIPCFXiiw X15G2OmMg ZkrSwdels myZHtS5bSU uO0tMUkuDM
Office of Management and Budget (OMB)	X15G2OmMg ZkrSwdels myZHtS5bSU
PROMIS -	18j0iNHNmh 5l_uLMMKXq 7Jeka_da68 7JxRZdTTL 7kV_GdTa8 7kbqZQOTaI 7kgl_m_pp8 7yWyRZdaTL 7y_gp_OTT8 7yeQ8m_6a8 7yeUXdTTI 7yfb6_ua68 7yq_Xdp6U 7yxgU7_T6I BLher9uPl Dqa7AXW6q5 I1S48YqA3z O313zBmfik OAh9_IboG8 Q1GG7uTpL Q1l6ZOT6I Q1zWXOaTL QJGpWuapL QJMFZm_ap8 QJZMbmOa68 QJZxLQ_a6I QJbWa_d6pI QJeyb7Oa68 QJgTlzuaaI QJl0TZ_6pL Qkeb6W_6aU QyeWQOTTI QylkAWOTTU RO_RNax5Te X1ZIQdpa8 X1ZbXdTaL X1bKWm_TT8 XJeMbm_6TI XJgtZXdTp8 XJk_QOTp8 XfwF96geLC Xg_j_uGrz1 XkGlCbd6pL XkZR_uTaL Xkgx0__apI Xm4jB7boRN XyEUXOpTU XyMXLXuTaU Xybxbm_6pU XyzgWmuT6L YO73o4Z5GZ aaxgOpx4OU at3kKUvb8b f_rmkIB9bE gtrZ3ro29E kdlYxTNrN0 m1JA_da68 m1bgCZ_apU mJWbZ7_aaL mJlb_Qua6U mJx5WQ_66U mkMkb7d66U mkWQLm_6TL mkbyWQuTT8 mkfe6_upaI mkgfaW_apI myW6W_TTI myexTbdpp8 x6ck5Xt0g
PROMIS - Alcohol use	71x8AWO6aL 7khA_OpT8 7yGUCZuT68 7y_DCbdaa8 7ylKRWu66I Q1V0bdpaL QJB0ZO6T8 QJDA_OapI QJbNCWuapU QJgHC_daaU QJlZ3buaaI QkKRb_6aL QklXRWO6pU Qkx60bOpTU QyZ5CWdapL Qy_oCZ_6aI QyxwR_OpT8 X1WX0bd66I XJpA__TaL XJxiAWupTL XkfiC_OapU XklV0Z_aaI XyM9RW_a68 XyW8RWOT6L XyiAbuTTU XyzP0WdaTU m1LRbda6U m1ZdA_d6TL m1l50WOaTU mJ50b_6aL mJZBRbdTaU mJbhAbuapU mkbYRW_TTL mkgdCZ_p6U myG4RWd6a8 myGdR_uTT8 myO0Zu6aL myehRZOpaL
PROMIS - Alcohol use drink	7ylKRWu66I Q1V0bdpaL QJB0ZO6T8 QJbNCWuapU QJlZ3buaaI QkKRb_6aL QyZ5CWdapL Qy_oCZ_6aI XJxiAWupTL XkfiC_OapU XklV0Z_aaI XyM9RW_a68 XyiAbuTTU XyzP0WdaTU m1ZdA_d6TL m1l50WOaTU mJ50b_6aL mkbYRW_TTL mkgdCZ_p6U myGdR_uTT8 myO0Zu6aL
PROMIS - Alcohol use drink because	7ylKRWu66I QkKRb_6aL QyZ5CWdapL Qy_oCZ_6aI XJxiAWupTL XkfiC_OapU XyM9RW_a68 XyiAbuTTU m1ZdA_d6TL mJ50b_6aL mkbYRW_TTL myGdR_uTT8
PROMIS - Anxiety	71GBSGOaTI 7JlYBMuT6U 7Jl_Bf_ap8 7kSSMda68 7kZNrf_p6U 7y_wHfdTTL 7yxVHzupa8 7yzNSfOpaI Q1GvSGOpaL Q1ejrfu6aL Q1vrGOaT8 QJVHM_6T8 Qk_HrGd6aI QkgcBfdT6U QygBBzOaa8 QygIrzuap8 X1GcrMOpaU X1USMOpaL X1ftHM_6TL XJtSG_apL XkzuSMdaTI XyWLBGd6TL XyZcHM_6aL XyuSGdTTI mJWOBzuTT8 mJoBfuTpI mk_FHGd6TU myewSM_aa8 myqSzd6TL
PROMIS - Applied Cognition abilities	7JxQgM_6aI 7kMxxz_6aL 7kelgGup6U 7kgGxzuTp8 7kgrxfdT6L 7y7xzup6L 7yb8lM_paI Q1ZSgzupaU Q1lJgMO6aU QJGSeMdpTU QJfyeMuaTI QJzxf_paL QkMfxGupaU QkgxzdpT8 Qy_fxM_TT8 Qy_gezua68 X1Cyfdpp8 X1MIxzdpaL X1xElfdpaU XJUezd6aU XJZQlfu6p8 XJ_xfupTU XJfExGOp6I Xk_4eGu668 XyJxMuaa8 XyZyezdpaU XyrxfO66U m1GWgz_apU m1MQef_TT8 mJNgfdT68 myZZgGO6pU myeZeGOaa8 myg8xzu6p8
PROMIS - Applied Cognition abilities remember	7JxQgM_6aI 7kgGxzuTp8 7y7xzup6L 7yb8lM_paI Q1lJgMO6aU QkMfxGupaU XJfExGOp6I XyJxMuaa8 m1GWgz_apU
PROMIS - Applied Cognition abilities think	7kgrxfdT6L QJfyeMuaTI Qy_fxM_TT8
PROMIS - Applied Cognition general concerns	71MEZfupaL 71ZxWGua68 71eNZfuppI 7JbZMu6TL 7JeAlMuapI 7kgbMua6L 7kz_fu6aI Q16xzu668 Q1Z6eG_TpI Q1_QZf_p6U Q1xgWfOppL QJZ1bzOaTU Qk1Wz_pTL QkMplzuaTI Qkr_zuTpI QyMeWz_6TI X1GXWGupTL XJZM_M_66L XJe3gzuapL XJlf_f_6T8 XJx1WGupp8 XkxHZzuaaL Xkxb_Mdp6L Xy2ezOT6L XymbGOaa8 m1fb_zuTTL mJ0gGdTaI mJ_NZzdaaI mJzAezO6pL mkbAgz_T6L mkbWZMuTTI mkxXWGOaTL
PROMIS - Applied Cognition general concerns problem with memory	71MEZfupaL Qkr_zuTpI mJ_NZzdaaI
PROMIS - Applied Cognition general concerns trouble	7JeAlMuapI 7kgbMua6L Q1_QZf_p6U QJZ1bzOaTU Qk1Wz_pTL QkMplzuaTI X1GXWGupTL Xy2ezOT6L mJ0gGdTaI mJzAezO6pL mkbAgz_T6L mkbWZMuTTI
PROMIS - Cognitive Function	7JWJzG_aTI 7Jga_zup68 7k6Wf_ppU 7kJGG_pTL 7klMzd6aL 7kzGfu6pI 7yMC_zu6pU 7y_3_MOap8 Q13Zf_TaU Q17zfuaaL Q1ZTbfdapL Q1b0bMdpp8 Q1i_z_T6I QJeQGM_p6L QJl2_M_6pI QyCWzdT6L QyGJzGOaTU QyGa_f_Tp8 QyZbGM_TpI Qyl0ZMu6a8 XJGZfz_TaI XJZeGz_6a8 XJxgfzuT6L Xy_j_G_aT8 XyzGMGO6aL m1_fGzd6a8 mJ_zGuapU mJxyfMO6p8 mkeWzf_ppL mybXMGuaTI mygGGzu6aI mylsZM_TpU
PROMIS - Cognitive Function problem	Q17zfuaaL QJeQGM_p6L XyzGMGO6aL
PROMIS - Cognitive Function trouble	7Jga_zup68 7k6Wf_ppU 7kzGfu6pI 7y_3_MOap8 Q1ZTbfdapL Q1i_z_T6I QyCWzdT6L QyGa_f_Tp8 Qyl0ZMu6a8 XJGZfz_TaI
PROMIS - Dyspnea Functional limitations	7JeZXM_6pU 7Jz3zzOpaU 7JzpfGdTpI 7kfW7GO6pL 7yxFzGO6pI Q1bpzMO668 Q1oMGua68 QJ1mzdaaU QJTGGuTT8 QJ_kQzdT68 QJxjMM_paL QkMy7zd6TU Qk_xQMup6U QyZ7MOa68 QyZoMfOaa8 Qy_RfM_T68 QybcfG_p6L Qye6zMOp6U Qyeczzd66L Qyg1XMdTTU QylXGupaU X1YMGO66U X1b_mzOTpL XJhzMuTT8 Xke2zMd66L XycfG_TTI m1xemzOap8 mJRMf_ppU mJb3zM_pp8 mkGmMdapL mke0fz_aTL myMszG_a6L myWYGz_6pI
PROMIS - Dyspnea Functional limitations carry	QJ_kQzdT68 QkMy7zd6TU QyZoMfOaa8
PROMIS - Dyspnea Functional limitations walk	7JeZXM_6pU 7JzpfGdTpI 7yxFzGO6pI Q1bpzMO668 QJTGGuTT8 Qye6zMOp6U X1b_mzOTpL mJRMf_ppU myMszG_a6L myWYGz_6pI
PROMIS - Dyspnea severity	71fF7f_pp8 71fhQzuTTL 71gFmGuaaI 7y07z_T6U 7yOmzuT6U 7yZo7M_66L 7yg_XfOTTL 7ylqXfup6L Q1M0XzuppL Q1__7Gua6L QJbcmMu6p8 QJgpXzO66L Qk2mfdaTI QkZRXfuT6L QkZyVz_668 QkiXz_6TI QkkNMuT6L Qkl4fuT68 QyZDXMOTaU QyZFQfd6TI Qyg1EMdT68 X1aXMdapU XJfyNGO6aU XJli7M_paU Xk5mM_pTL XkMimzdp6I Xkz5QMuapI XylCmf_TpU m1W3QfupTU m1Y7zOp6U myWTQMdaTL mygn7GO6TL
PROMIS - Dyspnea severity lift	71fF7f_pp8 71fhQzuTTL QyZFQfd6TI X1aXMdapU m1W3QfupTU
PROMIS - Dyspnea severity walk	7yOmzuT6U 7yZo7M_66L Qk2mfdaTI QkkNMuT6L QyZDXMOTaU Qyg1EMdT68 XJli7M_paU Xk5mM_pTL XkMimzdp6I mygn7GO6TL
PROMIS - Emotional Distress depression	7kPUz_aaI 7y7Lz_6p8 7yM4Lz_aaI 7yZm8fd66U 7y__IzdpT8 QJbMUMu6pL QJzZLfda6U QkSIf_66U Qk_UGuaaI Qkb4IzO668 QklmUG_T6L QkzmIf_66U XJeS8fu6aU XkexLf_aa8 XkgLIf_TaI Xkgv8MOTTU XyfPLGuap8 mJGLz_66L mJlGLfdTTU mkL8f_T6L mkN8Gu6TI mkWBUGuTaL mke4LzOp6I myZ8z_6aU my_wUG_6aU mybULfO6pL myfBIGuppI myxbIM_TpU
PROMIS - Life Satisfaction	7yeQ8m_6a8 7yxgU7_T6I QJZxLQ_a6I X1ZIQdpa8 XyEUXOpTU XyMXLXuTaU mkWQLm_6TL
PROMIS - Meaning and Purpose	7ygLUm_66I 7yt87_T6U Q1ZI8mdpp8 QJW_IX_TTU QyLUXdTaI X1lYUmdppU XklHL7Oa68 myz_L7da6I
PROMIS - Negative consequences	71_X2b_a6L 71__3ZOaa8 71gGnbd6pL 7JgDnZd6aL 7kN3bOap8 7kb4n_Oaa8 7ygB3__6aU 7ylXnbd6T8 Q1GKhbOT6L Q1Wt2bO66L QJWB2_dTpU QJbMhWd6a8 Qk92bdp6L Qku3b_6TL QylLhbu6pI XkGEhbuTTL XkS3Wu6aL XkU3Wu6TU XkYn_Oa6I Xyeu3ZOpaU XyfPhWu6TI XylKnZdTpL mJGQhW_TTL mJZI2ZuTT8 mJf3Zd6aU mkWv3ZOa6I mkw2_u6TL mkz8hbd66I mkzBhb_apU my72Zd6aL myg4h_uTTL
